"Value","Reference","Footprint","LCSC"
"100n","C1,C2,C3,C4,C5,C6,C7,C8,C9,C16","Capacitor_SMD:C_0402_1005Metric","C1525"
"1u","C10,C11,C12,C13,C17,C18,C19,C20","Capacitor_SMD:C_0402_1005Metric","C52923"
"15p","C14,C15","Capacitor_SMD:C_0402_1005Metric","C1548"
"10u","C21","Capacitor_SMD:C_0402_1005Metric","C15525"
"DE9_Pins","J1","DE-9:C19077344","C19077344"
"27","R1,R2","Resistor_SMD:R_0402_1005Metric","C138021"
"10k","R3,R4,R6,R10,R11,R12","Resistor_SMD:R_0402_1005Metric","C25744"
"1k","R5,R7","Resistor_SMD:R_0402_1005Metric","C11702"
"5.1k","R8,R9","Resistor_SMD:R_0402_1005Metric","C25905"
"SW_DIP_x04","SW1","DIP:C92645","C92645"
"SW_Push","SW19,SW20","SW:C720477","C720477"
"RP2040","U1","RP2040:RP2040-QFN-56","C2040"
"TLV73333PDBV","U2","SOT-23-5:SOT-23-5","C134139"
"W25Q128JVS","U3","SOIC:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"MAX3243","U5","MAX3243:SSOP-28_5.3x10.2mm_P0.65mm","C414614"
"HRO-TYPE-C-31-M-12","USB1","Type-C:HRO-TYPE-C-31-M-12-Assembly","C165948"
"Crystal_GND24","Y1","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","C90603"
