Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",144.750000,-82.750000,90.000000,top
"C2","100n","C_0402_1005Metric",147.550000,-95.905000,-90.000000,top
"C3","100n","C_0402_1005Metric",145.800000,-83.225000,90.000000,top
"C4","100n","C_0402_1005Metric",141.350000,-87.000000,-90.000000,top
"C5","100n","C_0402_1005Metric",151.700000,-91.600000,-45.000000,top
"C6","100n","C_0402_1005Metric",141.300000,-91.400000,-90.000000,top
"C7","100n","C_0402_1005Metric",146.550000,-95.905000,-90.000000,top
"C8","100n","C_0402_1005Metric",151.100000,-86.550000,0.000000,top
"C9","100n","C_0402_1005Metric",151.100000,-85.550000,0.000000,top
"C10","1u","C_0402_1005Metric",150.000000,-83.200000,90.000000,top
"C11","1u","C_0402_1005Metric",149.000000,-83.200000,90.000000,top
"C12","1u","C_0402_1005Metric",154.820000,-78.800000,0.000000,top
"C13","1u","C_0402_1005Metric",153.850000,-83.680000,180.000000,top
"C14","15p","C_0402_1005Metric",142.800000,-94.600000,0.000000,top
"C15","15p","C_0402_1005Metric",145.500000,-97.650000,-90.000000,top
"C16","100n","C_0402_1005Metric",136.330000,-76.600000,180.000000,top
"C17","1u","C_0402_1005Metric",148.650000,-107.050000,90.000000,top
"C18","1u","C_0402_1005Metric",147.600000,-107.050000,-90.000000,top
"C19","1u","C_0402_1005Metric",147.625000,-99.880000,-90.000000,top
"C20","1u","C_0402_1005Metric",148.675000,-99.880000,-90.000000,top
"C21","10u","C_0402_1005Metric",151.350000,-97.450000,180.000000,top
"J1","DE9_Pins","C19077344",150.000000,-114.850000,0.000000,top
"R1","27","R_0402_1005Metric",146.850000,-83.100000,-90.000000,top
"R2","27","R_0402_1005Metric",147.900000,-83.100000,-90.000000,top
"R3","10k","R_0402_1005Metric",148.035000,-102.200000,0.000000,top
"R4","10k","R_0402_1005Metric",148.035000,-103.250000,0.000000,top
"R5","1k","R_0402_1005Metric",145.500000,-95.700000,90.000000,top
"R6","10k","R_0402_1005Metric",136.800000,-82.950000,-90.000000,top
"R7","1k","R_0402_1005Metric",138.350000,-85.050000,180.000000,top
"R8","5.1k","R_0402_1005Metric",147.500000,-78.300000,180.000000,top
"R9","5.1k","R_0402_1005Metric",151.000000,-79.200000,-90.000000,top
"R10","10k","R_0402_1005Metric",157.700000,-108.850000,-90.000000,top
"R11","10k","R_0402_1005Metric",158.750000,-108.850000,-90.000000,top
"R12","10k","R_0402_1005Metric",159.800000,-108.850000,-90.000000,top
"SW1","SW_DIP_x04","C92645",160.650000,-89.000000,-90.000000,top
"SW19","SW_Push","C720477",138.000000,-98.000000,-90.000000,top
"SW20","SW_Push","C720477",138.000000,-91.000000,90.000000,top
"U1","RP2040","RP2040-QFN-56",146.000000,-89.925000,0.000000,top
"U2","TLV73333PDBV","SOT-23-5",153.400000,-81.230000,90.000000,top
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",140.250000,-79.850000,0.000000,top
"U5","MAX3243","SSOP-28_5.3x10.2mm_P0.65mm",154.775000,-103.000000,0.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",150.000000,-73.784000,180.000000,top
"Y1","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",143.450000,-96.850000,-90.000000,top
